IMIĘ DRUGIE,PŁEĆ,LICZBA WYSTĄPIEŃ
ERYKA,KOBIETA,2844
KUNEGUNDA,KOBIETA,2789
OLIMPIA,KOBIETA,2784
MARIE,KOBIETA,2720
ADELAJDA,KOBIETA,2689
SŁAWOMIRA,KOBIETA,2621
ZYTA,KOBIETA,2590
LEONARDA,KOBIETA,2519
ARLETA,KOBIETA,2509
MARIKA,KOBIETA,2506
IRMINA,KOBIETA,2458
KALINA,KOBIETA,2421
TATIANA,KOBIETA,2360
NATASZA,KOBIETA,2342
DONATA,KOBIETA,2311
EDWARDA,KOBIETA,2275
LONGINA,KOBIETA,2224
KLEMENTYNA,KOBIETA,2212
GIZELA,KOBIETA,2208
INGA,KOBIETA,2206
MARCELA,KOBIETA,2094
AMANDA,KOBIETA,2044
ELIZABETH,KOBIETA,2041
EMMA,KOBIETA,1964
ELFRYDA,KOBIETA,1938
LUCJA,KOBIETA,1884
IDA,KOBIETA,1821
OLIVIA,KOBIETA,1773
MARYLA,KOBIETA,1761
PETRONELA,KOBIETA,1748
MARCJANNA,KOBIETA,1745
BERTA,KOBIETA,1728
NICOLE,KOBIETA,1717
MARZENNA,KOBIETA,1701
SEWERYNA,KOBIETA,1614
ADA,KOBIETA,1595
ALEXANDRA,KOBIETA,1563
MIA,KOBIETA,1544
OKTAWIA,KOBIETA,1517
BOGNA,KOBIETA,1494
VANESSA,KOBIETA,1485
JESSICA,KOBIETA,1477
LILIA,KOBIETA,1468
AUGUSTYNA,KOBIETA,1424
KRZYSZTOFA,KOBIETA,1409
LIWIA,KOBIETA,1396
FILOMENA,KOBIETA,1363
LILLA,KOBIETA,1352
KAMILLA,KOBIETA,1347
AMALIA,KOBIETA,1330
NICOLA,KOBIETA,1298
LILA,KOBIETA,1243
SOFIA,KOBIETA,1231
ROSE,KOBIETA,1205
ELENA,KOBIETA,1202
ROMA,KOBIETA,1197
SOPHIE,KOBIETA,1190
ANETTA,KOBIETA,1157
BIANKA,KOBIETA,1135
SAMANTA,KOBIETA,1126
NADZIEJA,KOBIETA,1120
BENEDYKTA,KOBIETA,1113
ERNA,KOBIETA,1071
MIRELA,KOBIETA,1052
KSENIA,KOBIETA,1046
EVA,KOBIETA,1045
NELA,KOBIETA,1009
BERNARDYNA,KOBIETA,994
IZA,KOBIETA,979
EULALIA,KOBIETA,973
ANN,KOBIETA,961
RUTA,KOBIETA,934
ANGELINA,KOBIETA,933
VIKTORIA,KOBIETA,920
LEONTYNA,KOBIETA,914
DOMICELA,KOBIETA,910
STELLA,KOBIETA,887
MIRIAM,KOBIETA,879
ELISABETH,KOBIETA,860
LEA,KOBIETA,856
DOBROSŁAWA,KOBIETA,853
NOEMI,KOBIETA,841
INEZ,KOBIETA,833
EMA,KOBIETA,831
CELESTYNA,KOBIETA,828
GAJA,KOBIETA,819
WINCENTYNA,KOBIETA,814
MANUELA,KOBIETA,812
GABRYELA,KOBIETA,810
PAMELA,KOBIETA,803
SOPHIA,KOBIETA,798
ANGELA,KOBIETA,797
GERDA,KOBIETA,759
WIRGINIA,KOBIETA,758
MICHELLE,KOBIETA,753
AUGUSTA,KOBIETA,747
PRAKSEDA,KOBIETA,746
ANDREA,KOBIETA,735
LIGIA,KOBIETA,731
GRETA,KOBIETA,725
EMANUELA,KOBIETA,722
WALESKA,KOBIETA,711
ANNE,KOBIETA,698
JAROSŁAWA,KOBIETA,692
GLORIA,KOBIETA,691
